datetime,x,y,z
2024-05-09 00:02:31,21497.40,-1361.37,45896.57
2024-05-09 00:02:32,21497.42,-1361.40,45896.57
2024-05-09 00:02:33,21497.49,-1361.39,45896.49
2024-05-09 00:02:34,21497.52,-1361.40,45896.43
2024-05-09 00:02:35,21497.19,-1361.30,45896.58
2024-05-09 00:02:36,21497.43,-1361.43,45896.49
2024-05-09 00:02:37,21497.45,-1361.44,45896.49
2024-05-09 00:02:38,21497.49,-1361.40,45896.48
2024-05-09 00:02:39,21497.49,-1361.38,45896.47
2024-05-09 00:02:40,21497.62,-1361.35,45896.46
2024-05-09 00:02:41,21497.62,-1361.33,45896.40
2024-05-09 00:02:42,21497.57,-1361.33,45896.43
2024-05-09 00:02:43,21497.58,-1361.29,45896.40
2024-05-09 00:02:44,21497.52,-1361.33,45896.47
2024-05-09 00:02:45,21497.54,-1361.27,45896.48
2024-05-09 00:02:46,21497.53,-1361.27,45896.46
2024-05-09 00:02:47,21497.49,-1361.29,45896.53
2024-05-09 00:02:48,21497.42,-1361.30,45896.62
2024-05-09 00:02:49,21497.41,-1361.27,45896.58
2024-05-09 00:02:50,21497.40,-1361.23,45896.51
2024-05-09 00:02:51,21497.34,-1361.25,45896.56
2024-05-09 00:02:52,21497.42,-1361.24,45896.61
2024-05-09 00:02:53,21497.40,-1361.24,45896.60
2024-05-09 00:02:54,21497.34,-1361.25,45896.62
2024-05-09 00:02:55,21497.35,-1361.21,45896.63
2024-05-09 00:02:56,21497.28,-1361.23,45896.64
2024-05-09 00:02:57,21497.37,-1361.25,45896.72
2024-05-09 00:02:58,21497.30,-1361.24,45896.63
2024-05-09 00:02:59,21497.27,-1361.24,45896.61
2024-05-09 00:03:00,21497.25,-1361.24,45896.55
2024-05-09 00:03:01,21497.23,-1361.23,45896.54
2024-05-09 00:03:02,21497.16,-1361.25,45896.59
2024-05-09 00:03:03,21497.20,-1361.24,45896.55
2024-05-09 00:03:04,21497.07,-1361.24,45896.55
2024-05-09 00:03:05,21497.04,-1361.27,45896.56
2024-05-09 00:03:06,21497.00,-1361.28,45896.57
2024-05-09 00:03:07,21496.95,-1361.27,45896.59
2024-05-09 00:03:08,21496.98,-1361.30,45896.54
2024-05-09 00:03:09,21497.01,-1361.30,45896.52
2024-05-09 00:03:10,21496.98,-1361.33,45896.56
2024-05-09 00:03:11,21496.99,-1361.35,45896.47
2024-05-09 00:03:12,21497.00,-1361.34,45896.50
2024-05-09 00:03:13,21496.97,-1361.36,45896.53
2024-05-09 00:03:14,21496.98,-1361.40,45896.55
