datetime,x,y,z
2024-05-12 14:40:55,22565.18,-1588.49,43621.25
2024-05-12 14:40:56,22565.20,-1588.47,43621.24
2024-05-12 14:40:57,22565.16,-1588.46,43621.28
2024-05-12 14:40:58,22565.15,-1588.44,43621.33
2024-05-12 14:40:59,22565.11,-1588.43,43621.36
2024-05-12 14:41:00,22565.09,-1588.38,43621.40
2024-05-12 14:41:01,22565.04,-1588.38,43621.43
2024-05-12 14:41:02,22564.97,-1588.36,43621.42
2024-05-12 14:41:03,22564.94,-1588.32,43621.42
2024-05-12 14:41:04,22564.90,-1588.30,43621.45
2024-05-12 14:41:05,22564.88,-1588.30,43621.45
2024-05-12 14:41:06,22564.87,-1588.28,43621.44
2024-05-12 14:41:07,22564.87,-1588.27,43621.42
2024-05-12 14:41:08,22564.88,-1588.25,43621.43
2024-05-12 14:41:09,22564.87,-1588.23,43621.44
2024-05-12 14:41:10,22564.90,-1588.23,43621.40
2024-05-12 14:41:11,22564.90,-1588.24,43621.43
2024-05-12 14:41:12,22564.91,-1588.28,43621.39
2024-05-12 14:41:13,22564.92,-1588.29,43621.38
2024-05-12 14:41:14,22564.94,-1588.32,43621.40
2024-05-12 14:41:15,22564.96,-1588.35,43621.36
2024-05-12 14:41:16,22564.96,-1588.41,43621.35
2024-05-12 14:41:17,22564.95,-1588.44,43621.32
2024-05-12 14:41:18,22564.94,-1588.49,43621.32
2024-05-12 14:41:19,22564.93,-1588.52,43621.30
2024-05-12 14:41:20,22564.93,-1588.54,43621.32
2024-05-12 14:41:21,22564.92,-1588.55,43621.30
2024-05-12 14:41:22,22564.90,-1588.54,43621.32
2024-05-12 14:41:23,22564.89,-1588.53,43621.33
2024-05-12 14:41:24,22564.89,-1588.54,43621.34
2024-05-12 14:41:25,22564.89,-1588.54,43621.33
2024-05-12 14:41:26,22564.89,-1588.52,43621.33
2024-05-12 14:41:27,22564.91,-1588.51,43621.35
2024-05-12 14:41:28,22564.87,-1588.51,43621.34
2024-05-12 14:41:29,22564.88,-1588.51,43621.35
2024-05-12 14:41:30,22564.88,-1588.50,43621.39
2024-05-12 14:41:31,22564.87,-1588.49,43621.40
2024-05-12 14:41:32,22564.84,-1588.48,43621.40
2024-05-12 14:41:33,22564.79,-1588.47,43621.38
2024-05-12 14:41:34,22564.76,-1588.45,43621.44
2024-05-12 14:41:35,22564.72,-1588.42,43621.47
2024-05-12 14:41:36,22564.65,-1588.37,43621.48
2024-05-12 14:41:37,22564.62,-1588.33,43621.50
2024-05-12 14:41:38,22564.62,-1588.29,43621.52
2024-05-12 14:41:39,22564.56,-1588.21,43621.51
2024-05-12 14:41:40,22564.56,-1588.14,43621.56
2024-05-12 14:41:41,22564.55,-1588.05,43621.57
2024-05-12 14:41:42,22564.54,-1587.94,43621.59
2024-05-12 14:41:43,22564.53,-1587.89,43621.61
2024-05-12 14:41:44,22564.54,-1587.83,43621.61
2024-05-12 14:41:45,22564.51,-1587.79,43621.63
2024-05-12 14:41:46,22564.50,-1587.73,43621.64
2024-05-12 14:41:47,22564.47,-1587.68,43621.63
2024-05-12 14:41:48,22564.46,-1587.63,43621.63
2024-05-12 14:41:49,22564.40,-1587.60,43621.64
2024-05-12 14:41:50,22564.36,-1587.55,43621.63
2024-05-12 14:41:51,22564.29,-1587.51,43621.66
2024-05-12 14:41:52,22564.25,-1587.49,43621.63
2024-05-12 14:41:53,22564.18,-1587.47,43621.65
2024-05-12 14:41:54,22564.11,-1587.45,43621.58
2024-05-12 14:41:55,22564.11,-1587.44,43621.56
2024-05-12 14:41:56,22564.08,-1587.44,43621.52
2024-05-12 14:41:57,22564.06,-1587.48,43621.44
2024-05-12 14:41:58,22564.05,-1587.50,43621.43
2024-05-12 14:41:59,22564.08,-1587.54,43621.36
2024-05-12 14:42:00,22564.13,-1587.59,43621.32
2024-05-12 14:42:01,22564.11,-1587.64,43621.32
2024-05-12 14:42:02,22564.12,-1587.71,43621.26
2024-05-12 14:42:03,22564.13,-1587.78,43621.23
2024-05-12 14:42:04,22564.15,-1587.85,43621.21
2024-05-12 14:42:05,22564.12,-1587.91,43621.18
2024-05-12 14:42:06,22564.14,-1587.99,43621.12
2024-05-12 14:42:07,22564.15,-1588.06,43621.14
2024-05-12 14:42:08,22564.15,-1588.11,43621.13
2024-05-12 14:42:09,22564.14,-1588.13,43621.17
2024-05-12 14:42:10,22564.13,-1588.16,43621.12
2024-05-12 14:42:11,22564.12,-1588.15,43621.11
2024-05-12 14:42:12,22564.06,-1588.15,43621.16
2024-05-12 14:42:13,22564.07,-1588.15,43621.13
2024-05-12 14:42:14,22564.07,-1588.14,43621.14
2024-05-12 14:42:15,22564.08,-1588.12,43621.16
2024-05-12 14:42:16,22564.12,-1588.09,43621.12
2024-05-12 14:42:17,22564.14,-1588.08,43621.14
2024-05-12 14:42:18,22564.17,-1588.04,43621.15
2024-05-12 14:42:19,22564.18,-1588.04,43621.18
2024-05-12 14:42:20,22564.23,-1588.01,43621.18
2024-05-12 14:42:21,22564.27,-1588.01,43621.17
2024-05-12 14:42:22,22564.29,-1588.01,43621.17
2024-05-12 14:42:23,22564.32,-1588.01,43621.17
2024-05-12 14:42:24,22564.35,-1587.99,43621.16
2024-05-12 14:42:25,22564.36,-1588.00,43621.18
2024-05-12 14:42:26,22564.37,-1587.98,43621.16
2024-05-12 14:42:27,22564.37,-1587.97,43621.20
2024-05-12 14:42:28,22564.39,-1587.96,43621.19
2024-05-12 14:42:29,22564.36,-1587.96,43621.18
2024-05-12 14:42:30,22564.37,-1587.95,43621.19
2024-05-12 14:42:31,22564.37,-1587.97,43621.15
2024-05-12 14:42:32,22564.36,-1587.94,43621.18
2024-05-12 14:42:33,22564.35,-1587.94,43621.16
2024-05-12 14:42:34,22564.35,-1587.93,43621.16
2024-05-12 14:42:35,22564.31,-1587.94,43621.16
2024-05-12 14:42:36,22564.30,-1587.93,43621.15
2024-05-12 14:42:37,22564.29,-1587.94,43621.17
2024-05-12 14:42:38,22564.28,-1587.94,43621.16
2024-05-12 14:42:39,22564.27,-1587.94,43621.18
2024-05-12 14:42:40,22564.25,-1587.91,43621.15
2024-05-12 14:42:41,22564.26,-1587.89,43621.17
2024-05-12 14:42:42,22564.29,-1587.91,43621.19
2024-05-12 14:42:43,22564.27,-1587.91,43621.18
2024-05-12 14:42:44,22564.26,-1587.90,43621.18
2024-05-12 14:42:45,22564.29,-1587.86,43621.14
2024-05-12 14:42:46,22564.29,-1587.84,43621.21
2024-05-12 14:42:47,22564.33,-1587.83,43621.21
2024-05-12 14:42:48,22564.33,-1587.80,43621.21
2024-05-12 14:42:49,22564.34,-1587.77,43621.22
2024-05-12 14:42:50,22564.35,-1587.76,43621.18
2024-05-12 14:42:51,22564.39,-1587.73,43621.21
2024-05-12 14:42:52,22564.43,-1587.77,43621.18
2024-05-12 14:42:53,22564.46,-1587.77,43621.18
2024-05-12 14:42:54,22564.50,-1587.80,43621.17
2024-05-12 14:42:55,22564.56,-1587.84,43621.12
2024-05-12 14:42:56,22564.56,-1587.90,43621.09
2024-05-12 14:42:57,22564.61,-1587.96,43621.07
2024-05-12 14:42:58,22564.66,-1588.00,43621.04
2024-05-12 14:42:59,22564.63,-1588.03,43621.03
2024-05-12 14:43:00,22564.65,-1588.07,43621.03
2024-05-12 14:43:01,22564.63,-1588.10,43621.03
2024-05-12 14:43:02,22564.64,-1588.12,43621.04
2024-05-12 14:43:03,22564.62,-1588.12,43621.04
2024-05-12 14:43:04,22564.65,-1588.12,43621.07
2024-05-12 14:43:05,22564.61,-1588.11,43621.09
2024-05-12 14:43:06,22564.58,-1588.07,43621.10
2024-05-12 14:43:07,22564.56,-1588.05,43621.15
2024-05-12 14:43:08,22564.54,-1588.02,43621.19
2024-05-12 14:43:09,22564.56,-1587.99,43621.21
2024-05-12 14:43:10,22564.56,-1587.96,43621.25
2024-05-12 14:43:11,22564.56,-1587.95,43621.24
2024-05-12 14:43:12,22564.56,-1587.94,43621.23
2024-05-12 14:43:13,22564.59,-1587.94,43621.22
2024-05-12 14:43:14,22564.63,-1587.94,43621.22
2024-05-12 14:43:15,22564.66,-1587.96,43621.23
2024-05-12 14:43:16,22564.68,-1587.98,43621.19
2024-05-12 14:43:17,22564.67,-1588.00,43621.18
2024-05-12 14:43:18,22564.69,-1588.03,43621.18
2024-05-12 14:43:19,22564.72,-1588.05,43621.18
2024-05-12 14:43:20,22564.75,-1588.09,43621.15
2024-05-12 14:43:21,22564.78,-1588.14,43621.13
2024-05-12 14:43:22,22564.81,-1588.17,43621.19
2024-05-12 14:43:23,22564.84,-1588.19,43621.11
2024-05-12 14:43:24,22564.86,-1588.23,43621.11
2024-05-12 14:43:25,22564.88,-1588.25,43621.08
2024-05-12 14:43:26,22564.90,-1588.29,43621.11
2024-05-12 14:43:27,22564.94,-1588.30,43621.14
2024-05-12 14:43:28,22564.97,-1588.32,43621.15
2024-05-12 14:43:29,22564.98,-1588.33,43621.14
2024-05-12 14:43:30,22564.98,-1588.34,43621.16
2024-05-12 14:43:31,22564.99,-1588.33,43621.18
2024-05-12 14:43:32,22564.98,-1588.35,43621.16
2024-05-12 14:43:33,22565.00,-1588.35,43621.17
2024-05-12 14:43:34,22564.99,-1588.37,43621.17
2024-05-12 14:43:35,22565.01,-1588.38,43621.18
2024-05-12 14:43:36,22565.01,-1588.43,43621.16
2024-05-12 14:43:37,22565.06,-1588.46,43621.14
2024-05-12 14:43:38,22565.08,-1588.49,43621.17
2024-05-12 14:43:39,22565.12,-1588.52,43621.18
2024-05-12 14:43:40,22565.13,-1588.55,43621.16
2024-05-12 14:43:41,22565.17,-1588.56,43621.22
2024-05-12 14:43:42,22565.20,-1588.59,43621.17
2024-05-12 14:43:43,22565.21,-1588.62,43621.16
2024-05-12 14:43:44,22565.23,-1588.62,43621.20
2024-05-12 14:43:45,22565.27,-1588.66,43621.18
2024-05-12 14:43:46,22565.27,-1588.69,43621.19
2024-05-12 14:43:47,22565.30,-1588.72,43621.19
2024-05-12 14:43:48,22565.35,-1588.76,43621.20
2024-05-12 14:43:49,22565.40,-1588.79,43621.20
2024-05-12 14:43:50,22565.43,-1588.83,43621.17
2024-05-12 14:43:51,22565.45,-1588.89,43621.18
2024-05-12 14:43:52,22565.48,-1588.97,43621.19
2024-05-12 14:43:53,22565.55,-1589.02,43621.14
2024-05-12 14:43:54,22565.57,-1589.06,43621.16
2024-05-12 14:43:55,22565.59,-1589.15,43621.14
2024-05-12 14:43:56,22565.68,-1589.19,43621.13
2024-05-12 14:43:57,22565.72,-1589.24,43621.16
2024-05-12 14:43:58,22565.73,-1589.26,43621.17
2024-05-12 14:43:59,22565.74,-1589.26,43621.21
2024-05-12 14:44:00,22565.71,-1589.26,43621.27
2024-05-12 14:44:01,22565.67,-1589.25,43621.27
2024-05-12 14:44:02,22565.63,-1589.22,43621.35
2024-05-12 14:44:03,22565.58,-1589.21,43621.36
2024-05-12 14:44:04,22565.54,-1589.15,43621.39
2024-05-12 14:44:05,22565.50,-1589.10,43621.45
2024-05-12 14:44:06,22565.46,-1589.05,43621.49
2024-05-12 14:44:07,22565.44,-1589.00,43621.50
2024-05-12 14:44:08,22565.42,-1588.94,43621.54
2024-05-12 14:44:09,22565.39,-1588.89,43621.57
2024-05-12 14:44:10,22565.35,-1588.82,43621.59
2024-05-12 14:44:11,22565.32,-1588.78,43621.61
2024-05-12 14:44:12,22565.29,-1588.73,43621.58
2024-05-12 14:44:13,22565.25,-1588.68,43621.65
2024-05-12 14:44:14,22565.22,-1588.64,43621.67
2024-05-12 14:44:15,22565.19,-1588.57,43621.70
2024-05-12 14:44:16,22565.16,-1588.52,43621.71
2024-05-12 14:44:17,22565.15,-1588.45,43621.72
2024-05-12 14:44:18,22565.12,-1588.40,43621.74
2024-05-12 14:44:19,22565.09,-1588.34,43621.75
2024-05-12 14:44:20,22565.06,-1588.28,43621.76
2024-05-12 14:44:21,22565.02,-1588.25,43621.76
2024-05-12 14:44:22,22565.01,-1588.24,43621.71
2024-05-12 14:44:23,22565.02,-1588.24,43621.68
2024-05-12 14:44:24,22565.01,-1588.27,43621.68
2024-05-12 14:44:25,22565.03,-1588.31,43621.63
2024-05-12 14:44:26,22565.04,-1588.33,43621.60
2024-05-12 14:44:27,22565.10,-1588.42,43621.52
2024-05-12 14:44:28,22565.11,-1588.50,43621.49
2024-05-12 14:44:29,22565.13,-1588.58,43621.45
2024-05-12 14:44:30,22565.14,-1588.66,43621.43
2024-05-12 14:44:31,22565.10,-1588.72,43621.43
2024-05-12 14:44:32,22565.05,-1588.81,43621.39
2024-05-12 14:44:33,22564.97,-1588.87,43621.39
2024-05-12 14:44:34,22564.89,-1588.91,43621.40
2024-05-12 14:44:35,22564.82,-1588.92,43621.40
2024-05-12 14:44:36,22564.73,-1588.95,43621.42
2024-05-12 14:44:37,22564.62,-1588.92,43621.43
2024-05-12 14:44:38,22564.53,-1588.92,43621.41
2024-05-12 14:44:39,22564.41,-1588.93,43621.47
2024-05-12 14:44:40,22564.37,-1588.93,43621.40
2024-05-12 14:44:41,22564.35,-1588.93,43621.36
2024-05-12 14:44:42,22564.32,-1588.92,43621.37
2024-05-12 14:44:43,22564.32,-1588.92,43621.36
2024-05-12 14:44:44,22564.33,-1588.92,43621.36
2024-05-12 14:44:45,22564.31,-1588.90,43621.36
2024-05-12 14:44:46,22564.33,-1588.89,43621.35
2024-05-12 14:44:47,22564.32,-1588.88,43621.39
2024-05-12 14:44:48,22564.33,-1588.83,43621.42
2024-05-12 14:44:49,22564.30,-1588.79,43621.43
2024-05-12 14:44:50,22564.22,-1588.74,43621.50
2024-05-12 14:44:51,22564.13,-1588.68,43621.49
2024-05-12 14:44:52,22564.05,-1588.58,43621.54
2024-05-12 14:44:53,22564.00,-1588.51,43621.56
2024-05-12 14:44:54,22563.95,-1588.43,43621.58
2024-05-12 14:44:55,22563.88,-1588.33,43621.60
2024-05-12 14:44:56,22563.80,-1588.26,43621.61
2024-05-12 14:44:57,22563.73,-1588.15,43621.60
2024-05-12 14:44:58,22563.69,-1588.06,43621.59
2024-05-12 14:44:59,22563.66,-1587.98,43621.55
2024-05-12 14:45:00,22563.62,-1587.91,43621.59
2024-05-12 14:45:01,22563.63,-1587.82,43621.60
2024-05-12 14:45:02,22563.63,-1587.70,43621.57
2024-05-12 14:45:03,22563.61,-1587.61,43621.60
2024-05-12 14:45:04,22563.58,-1587.51,43621.64
2024-05-12 14:45:05,22563.55,-1587.43,43621.64
2024-05-12 14:45:06,22563.52,-1587.33,43621.64
2024-05-12 14:45:07,22563.52,-1587.26,43621.61
2024-05-12 14:45:08,22563.50,-1587.17,43621.64
2024-05-12 14:45:09,22563.45,-1587.11,43621.62
2024-05-12 14:45:10,22563.43,-1587.06,43621.61
2024-05-12 14:45:11,22563.40,-1587.02,43621.56
2024-05-12 14:45:12,22563.39,-1587.02,43621.50
2024-05-12 14:45:13,22563.39,-1587.00,43621.46
2024-05-12 14:45:14,22563.42,-1587.04,43621.41
2024-05-12 14:45:15,22563.43,-1587.05,43621.35
2024-05-12 14:45:16,22563.46,-1587.08,43621.30
2024-05-12 14:45:17,22563.48,-1587.10,43621.24
2024-05-12 14:45:18,22563.47,-1587.15,43621.21
2024-05-12 14:45:19,22563.44,-1587.18,43621.17
2024-05-12 14:45:20,22563.40,-1587.22,43621.15
2024-05-12 14:45:21,22563.38,-1587.22,43621.13
2024-05-12 14:45:22,22563.32,-1587.24,43621.12
