GICDeviceID,SampleDateTime,GICMeasured
10679,6/28/2024 5:18:11 AM,-0.90
10679,6/28/2024 5:19:11 AM,0.10
10679,6/28/2024 5:19:59 AM,-0.60
10679,6/28/2024 5:20:11 AM,-0.20
10679,6/28/2024 5:20:59 AM,-0.30
10679,6/28/2024 5:21:11 AM,0.10
10679,6/28/2024 5:22:11 AM,-0.10
10679,6/28/2024 5:23:11 AM,-0.20
10679,6/28/2024 5:24:11 AM,-0.10
10679,6/28/2024 5:25:11 AM,0.00
10679,6/28/2024 5:26:11 AM,-0.10
10679,6/28/2024 5:27:11 AM,-0.20
10679,6/28/2024 5:29:11 AM,0.00
10679,6/28/2024 5:30:11 AM,-0.10
10679,6/28/2024 5:31:11 AM,0.20
10679,6/28/2024 5:32:11 AM,0.00
10679,6/28/2024 5:34:11 AM,-0.10
10679,6/28/2024 5:35:11 AM,-0.30
10679,6/28/2024 5:36:11 AM,-0.10
10679,6/28/2024 5:37:11 AM,-0.20
10679,6/28/2024 5:38:11 AM,-0.40
10679,6/28/2024 5:39:11 AM,-0.30
10679,6/28/2024 5:40:11 AM,-0.40
10679,6/28/2024 5:41:11 AM,-0.60
10679,6/28/2024 5:41:41 AM,-0.90
10679,6/28/2024 5:43:11 AM,-1.10
10679,6/28/2024 5:44:11 AM,-1.40
10679,6/28/2024 5:45:11 AM,-1.10
10679,6/28/2024 5:46:11 AM,-1.30
10679,6/28/2024 5:48:11 AM,-1.40
10679,6/28/2024 5:49:11 AM,-1.60
10679,6/28/2024 5:49:41 AM,-2.10
10679,6/28/2024 5:50:11 AM,-1.80
10679,6/28/2024 5:52:11 AM,-1.30
10679,6/28/2024 5:53:11 AM,-1.40
10679,6/28/2024 5:54:11 AM,-1.90
10679,6/28/2024 5:55:11 AM,-2.10
10679,6/28/2024 5:56:11 AM,-1.80
10679,6/28/2024 5:57:11 AM,-2.10
10679,6/28/2024 5:58:11 AM,-1.70
10679,6/28/2024 5:59:11 AM,-1.90
10679,6/28/2024 6:00:11 AM,-1.50
10679,6/28/2024 6:01:11 AM,-1.30
10679,6/28/2024 6:03:11 AM,-1.00
10679,6/28/2024 6:04:11 AM,-0.90
10679,6/28/2024 6:05:11 AM,-0.80
10679,6/28/2024 6:06:11 AM,-0.70
10679,6/28/2024 6:07:11 AM,-0.80
10679,6/28/2024 6:09:11 AM,-0.70
10679,6/28/2024 6:10:11 AM,-0.50
10679,6/28/2024 6:11:11 AM,-0.40
10679,6/28/2024 6:12:11 AM,-0.50
10679,6/28/2024 6:14:11 AM,-0.40
10679,6/28/2024 6:15:11 AM,-0.90
10679,6/28/2024 6:16:11 AM,-1.30
10679,6/28/2024 6:17:11 AM,-1.40
10679,6/28/2024 6:18:11 AM,-0.90
10679,6/28/2024 6:19:11 AM,-0.70
10679,6/28/2024 6:20:11 AM,-0.80
10679,6/28/2024 6:21:11 AM,-0.70
10679,6/28/2024 6:22:11 AM,-1.00
10679,6/28/2024 6:23:11 AM,-0.90
10679,6/28/2024 6:24:11 AM,-0.80
10679,6/28/2024 6:25:11 AM,-0.50
10679,6/28/2024 6:26:11 AM,-0.60
10679,6/28/2024 6:26:59 AM,0.00
10679,6/28/2024 6:28:11 AM,-0.10
10679,6/28/2024 6:29:11 AM,0.20
10679,6/28/2024 6:31:11 AM,0.60
10679,6/28/2024 6:33:11 AM,-0.10
10679,6/28/2024 6:34:11 AM,0.20
10679,6/28/2024 6:35:11 AM,0.30
10679,6/28/2024 6:37:11 AM,0.40
10679,6/28/2024 6:38:11 AM,0.60
10679,6/28/2024 6:38:47 AM,0.80
10679,6/28/2024 6:39:11 AM,0.60
10679,6/28/2024 6:41:11 AM,0.40
10679,6/28/2024 6:42:11 AM,0.30
10679,6/28/2024 6:44:11 AM,0.20
10679,6/28/2024 6:44:35 AM,0.00
10679,6/28/2024 6:45:11 AM,0.30
10679,6/28/2024 6:47:11 AM,0.50
10679,6/28/2024 6:48:11 AM,0.30
10679,6/28/2024 6:50:11 AM,0.40
10679,6/28/2024 6:51:11 AM,0.70
10679,6/28/2024 6:51:41 AM,0.80
10679,6/28/2024 6:53:11 AM,0.50
10679,6/28/2024 6:54:11 AM,0.20
10679,6/28/2024 6:55:11 AM,0.30
10679,6/28/2024 6:55:23 AM,0.00
10679,6/28/2024 6:56:11 AM,0.10
10679,6/28/2024 6:57:11 AM,-0.20
10679,6/28/2024 6:58:11 AM,-0.10
10679,6/28/2024 6:58:48 AM,-0.10
10679,6/28/2024 6:58:53 AM,-0.10
10679,6/28/2024 6:59:11 AM,0.10
10679,6/28/2024 7:00:11 AM,-0.40
10679,6/28/2024 7:01:11 AM,-0.30
10679,6/28/2024 7:02:11 AM,0.10
10679,6/28/2024 7:03:11 AM,-0.20
10679,6/28/2024 7:04:11 AM,-0.10
10679,6/28/2024 7:05:11 AM,-0.60
10679,6/28/2024 7:06:11 AM,-0.40
10679,6/28/2024 7:07:11 AM,-0.80
10679,6/28/2024 7:07:17 AM,-0.90
