:Product:20160301_Fujian_Huangmeishan_220kV_GIC.txt
:Export:2016/08/06 230820  LocalTime
# Prepared by the NCEPU 
# 
# Units GIC_DATA = A
# The positive and negative features of current data represent current direction
#
#       Real-Time GIC Data
#       福建省宁德市寿宁县黄眉山 N27.3675E119.5335
# 

# UT Date           Time
# YR  MO   DA       HHMMSS            GIC_DATA
#-------------------------------------------------------------------------------------------
2016  03  06       083100      -0.15111
2016  03  06       083200      -0.16471
2016  03  06       083300      -0.15993
2016  03  06       083400      -0.18142
2016  03  06       083500      -0.18267
2016  03  06       083600      -0.17635
2016  03  06       083700      -0.16881
2016  03  06       083800      -0.17707
2016  03  06       083900      -0.15903
2016  03  06       084000      -0.13956
2016  03  06       084100      -0.10134
2016  03  06       084200      -0.049739
2016  03  06       084300      -0.034422
2016  03  06       084400      0.0029457
2016  03  06       084500      0.045102
2016  03  06       084600      0.099446
2016  03  06       084700      0.1064
2016  03  06       084800      0.12358
2016  03  06       084900      0.10719
2016  03  06       085000      0.14216
2016  03  06       085100      0.14033
2016  03  06       085200      0.25239
2016  03  06       085300      0.26766
2016  03  06       085400      0.27045
2016  03  06       085500      0.23139
2016  03  06       085600      0.22548
2016  03  06       085700      0.21362
2016  03  06       085800      0.21387
2016  03  06       085900      0.1932
2016  03  06       090000      0.21423
2016  03  06       090100      0.18901
2016  03  06       090200      0.205
2016  03  06       090300      0.18247
2016  03  06       090400      0.096347
2016  03  06       090500      0.074224
2016  03  06       090600      0.0070349
2016  03  06       090700      -0.039129
2016  03  06       090800      -0.049146
2016  03  06       090900      -0.048054
2016  03  06       091000      -0.066483
2016  03  06       091100      -0.095606
2016  03  06       091200      -0.1262
2016  03  06       091300      -0.10139
2016  03  06       091400      -0.063395
2016  03  06       091500      -0.046485
2016  03  06       091600      -0.011261
2016  03  06       091700      -0.022532
2016  03  06       091800      0.041866
2016  03  06       091900      0.049946
2016  03  06       092000      0.10607
2016  03  06       092100      0.15945
2016  03  06       092200      0.17234
2016  03  06       092300      0.098416
2016  03  06       092400      0.00058692
2016  03  06       092500      -0.15206
2016  03  06       092600      -0.36209
2016  03  06       092700      -0.45104
2016  03  06       092800      -0.48713
2016  03  06       092900      -0.48082
2016  03  06       093000      -0.46151
2016  03  06       093100      -0.38044
2016  03  06       093200      -0.3448
2016  03  06       093300      -0.24861
2016  03  06       093400      -0.26225
2016  03  06       093500      -0.19168
2016  03  06       093600      -0.14985
2016  03  06       093700      -0.095669
2016  03  06       093800      -0.078253
2016  03  06       093900      -0.056578
2016  03  06       094000      -0.029795
2016  03  06       094100      -0.015115
2016  03  06       094200      -0.02522
2016  03  06       094300      0.00069094
2016  03  06       094400      -0.010839
2016  03  06       094500      -0.0070981
2016  03  06       094600      -0.00157
2016  03  06       094700      -0.026598
2016  03  06       094800      -0.020867
2016  03  06       094900      -0.026562
2016  03  06       095000      -0.019845
2016  03  06       095100      0.049093
2016  03  06       095200      0.057505
2016  03  06       095300      0.091666
2016  03  06       095400      0.08815
2016  03  06       095500      0.099986
2016  03  06       095600      0.092208
2016  03  06       095700      0.10296
2016  03  06       095800      0.089417
2016  03  06       095900      0.083801
2016  03  06       100000      0.061411
2016  03  06       100100      0.053681
2016  03  06       100200      0.050682
2016  03  06       100300      0.044024
2016  03  06       100400      0.039744
2016  03  06       100500      0.049722
2016  03  06       100600      0.02651
2016  03  06       100700      0.028339
2016  03  06       100800      0.044861
2016  03  06       100900      0.047294
2016  03  06       101000      0.054303
2016  03  06       101100      0.044587
2016  03  06       101200      0.028324
2016  03  06       101300      0.029188
2016  03  06       101400      0.036766
2016  03  06       101500      0.034119
2016  03  06       101600      0.049664
2016  03  06       101700      0.058759
2016  03  06       101800      0.070647
2016  03  06       101900      0.08683
2016  03  06       102000      0.10377
2016  03  06       102100      0.16734
2016  03  06       102200      0.16326
2016  03  06       102300      0.17211
2016  03  06       102400      0.19529
2016  03  06       102500      0.14409
2016  03  06       102600      0.14655
2016  03  06       102700      0.11494
2016  03  06       102800      0.087389
2016  03  06       102900      0.076195
2016  03  06       103000      0.074813
2016  03  06       103100      0.066193
2016  03  06       103200      0.090049
2016  03  06       103300      0.064275
2016  03  06       103400      0.062431
2016  03  06       103500      0.0010273
2016  03  06       103600      -0.096321
2016  03  06       103700      -0.1641
2016  03  06       103800      -0.19155
2016  03  06       103900      -0.17247
2016  03  06       104000      -0.17908
2016  03  06       104100      -0.15786
2016  03  06       104200      -0.15397
2016  03  06       104300      -0.16968
2016  03  06       104400      -0.16687
2016  03  06       104500      -0.17153
2016  03  06       104600      -0.1167
2016  03  06       104700      -0.10305
2016  03  06       104800      -0.077957
2016  03  06       104900      -0.083284
2016  03  06       105000      -0.089772
2016  03  06       105100      -0.10236
2016  03  06       105200      -0.048655
2016  03  06       105300      0.048858
2016  03  06       105400      0.12763
2016  03  06       105500      0.076428
2016  03  06       105600      0.056504
2016  03  06       105700      0.076153
2016  03  06       105800      0.10854
2016  03  06       105900      0.12079
2016  03  06       110000      0.18864
2016  03  06       110100      0.23468
2016  03  06       110200      0.22922
2016  03  06       110300      0.19603
2016  03  06       110400      0.17286
2016  03  06       110500      0.14088
2016  03  06       110600      0.11138
2016  03  06       110700      0.043032
2016  03  06       110800      0.016915
2016  03  06       110900      -0.071594
2016  03  06       111000      -0.079944
2016  03  06       111100      -0.070783
2016  03  06       111200      -0.10828
2016  03  06       111300      -0.065833
2016  03  06       111400      -0.063601
2016  03  06       111500      -0.054384
2016  03  06       111600      -0.047855
2016  03  06       111700      -0.080128
2016  03  06       111800      -0.052865
2016  03  06       111900      -0.066745
2016  03  06       112000      -0.053499
2016  03  06       112100      -0.12704
2016  03  06       112200      -0.13482
2016  03  06       112300      -0.15416
2016  03  06       112400      -0.12491
2016  03  06       112500      -0.099501
2016  03  06       112600      -0.080631
2016  03  06       112700      -0.067446
2016  03  06       112800      -0.047381
2016  03  06       112900      -0.15982
2016  03  06       113000      -0.32237
2016  03  06       113100      -0.45649
2016  03  06       113200      -0.51467
2016  03  06       113300      -0.53765
2016  03  06       113400      -0.4738
2016  03  06       113500      -0.39543
2016  03  06       113600      -0.24934
2016  03  06       113700      -0.14941
2016  03  06       113800      -0.078646
2016  03  06       113900      -0.040729
2016  03  06       114000      -0.017878
2016  03  06       114100      -0.018867
2016  03  06       114200      -0.03088
2016  03  06       114300      -0.048943
2016  03  06       114400      -0.038059
2016  03  06       114500      -0.071538
2016  03  06       114600      -0.057204
2016  03  06       114700      -0.04642
2016  03  06       114800      -0.011511
2016  03  06       114900      -0.022588
2016  03  06       115000      -0.039348
2016  03  06       115100      -0.039001
2016  03  06       115200      -0.032275
2016  03  06       115300      -0.045265
2016  03  06       115400      -0.057164
2016  03  06       115500      -0.058908
2016  03  06       115600      -0.071783
2016  03  06       115700      -0.081916
2016  03  06       115800      -0.090483
2016  03  06       115900      -0.11079
2016  03  06       120000      -0.072588
2016  03  06       120100      -0.06015
2016  03  06       120200      -0.023584
2016  03  06       120300      -0.025103
2016  03  06       120400      0.0039972
2016  03  06       120500      0.015866
