:Product:20151201_Fujian_Huangmeishan_220kV_GIC.txt
:Export:2016/08/06 231751  LocalTime
# Prepared by the NCEPU 
# 
# Units GIC_DATA = A
# The positive and negative features of current data represent current direction
#
#       Real-Time GIC Data
#       福建省宁德市寿宁县黄眉山 N27.3675E119.5335
# 

# UT Date           Time
# YR  MO   DA       HHMMSS            GIC_DATA
#-------------------------------------------------------------------------------------------
2015  12  14       055900      0.025633
2015  12  14       060000      0.0053463
2015  12  14       060100      0.055535
2015  12  14       060200      0.024484
2015  12  14       060300      0.059142
2015  12  14       060400      0.031627
2015  12  14       060500      0.049245
2015  12  14       060600      0.024903
2015  12  14       060700      0.069673
2015  12  14       060800      0.033153
2015  12  14       060900      0.060346
2015  12  14       061000      0.037027
2015  12  14       061100      0.065394
2015  12  14       061200      0.048842
2015  12  14       061300      0.067072
2015  12  14       061400      0.055527
2015  12  14       061500      0.082929
2015  12  14       061600      0.08871
2015  12  14       061700      0.098054
2015  12  14       061800      0.082604
2015  12  14       061900      0.067442
2015  12  14       062000      0.073234
2015  12  14       062100      0.075283
2015  12  14       062200      0.050906
2015  12  14       062300      0.052593
2015  12  14       062400      0.044052
2015  12  14       062500      0.04317
2015  12  14       062600      0.041385
2015  12  14       062700      0.059435
2015  12  14       062800      0.033046
2015  12  14       062900      0.05192
2015  12  14       063000      0.042221
2015  12  14       063100      0.079116
2015  12  14       063200      0.059598
2015  12  14       063300      0.081026
2015  12  14       063400      0.083482
2015  12  14       063500      0.098932
2015  12  14       063600      0.08449
2015  12  14       063700      0.088077
2015  12  14       063800      0.091692
2015  12  14       063900      0.12134
2015  12  14       064000      0.11161
2015  12  14       064100      0.10658
2015  12  14       064200      0.093086
2015  12  14       064300      0.095407
2015  12  14       064400      0.08719
2015  12  14       064500      0.086314
2015  12  14       064600      0.064891
2015  12  14       064700      0.054544
2015  12  14       064800      0.047944
2015  12  14       064900      0.064805
2015  12  14       065000      0.048457
2015  12  14       065100      0.044909
2015  12  14       065200      0.042979
2015  12  14       065300      0.042844
2015  12  14       065400      0.034884
2015  12  14       065500      0.040248
2015  12  14       065600      0.043516
2015  12  14       065700      0.015541
2015  12  14       065800      0.0042481
2015  12  14       065900      -9.02E-05
2015  12  14       070000      -0.01984
2015  12  14       070100      -0.024654
2015  12  14       070200      -0.023353
2015  12  14       070300      -0.020068
2015  12  14       070400      -0.036803
2015  12  14       070500      -0.049716
2015  12  14       070600      -0.05907
2015  12  14       070700      -0.04703
2015  12  14       070800      -0.078176
2015  12  14       070900      -0.068432
2015  12  14       071000      -0.070693
2015  12  14       071100      -0.068328
2015  12  14       071200      -0.083296
2015  12  14       071300      -0.077704
2015  12  14       071400      -0.087451
2015  12  14       071500      -0.084984
2015  12  14       071600      -0.096055
2015  12  14       071700      -0.08098
2015  12  14       071800      -0.089923
2015  12  14       071900      -0.071549
2015  12  14       072000      -0.083287
2015  12  14       072100      -0.091733
2015  12  14       072200      -0.097529
2015  12  14       072300      -0.088057
2015  12  14       072400      -0.11393
2015  12  14       072500      -0.08712
2015  12  14       072600      -0.089484
2015  12  14       072700      -0.074068
2015  12  14       072800      -0.088096
2015  12  14       072900      -0.092965
2015  12  14       073000      -0.10076
2015  12  14       073100      -0.090152
2015  12  14       073200      -0.096972
2015  12  14       073300      -0.085749
2015  12  14       073400      -0.068848
2015  12  14       073500      -0.081828
2015  12  14       073600      -0.097135
2015  12  14       073700      -0.085976
2015  12  14       073800      -0.080927
2015  12  14       073900      -0.071995
2015  12  14       074000      -0.053532
2015  12  14       074100      -0.049786
2015  12  14       074200      -0.02797
2015  12  14       074300      -0.010382
2015  12  14       074400      -0.024886
2015  12  14       074500      -0.019716
2015  12  14       074600      -0.043461
2015  12  14       074700      -0.051186
2015  12  14       074800      -0.041395
2015  12  14       074900      -0.023102
2015  12  14       075000      -0.039517
2015  12  14       075100      -0.048407
2015  12  14       075200      -0.066492
2015  12  14       075300      -0.037442
2015  12  14       075400      -0.081866
2015  12  14       075500      -0.069435
2015  12  14       075600      -0.11499
2015  12  14       075700      -0.09764
2015  12  14       075800      -0.10572
2015  12  14       075900      -0.077329
2015  12  14       080000      -0.091219
2015  12  14       080100      -0.087817
2015  12  14       080200      -0.08035
2015  12  14       080300      -0.075819
2015  12  14       080400      -0.068733
2015  12  14       080500      -0.064905
2015  12  14       080600      -0.075267
2015  12  14       080700      -0.088821
2015  12  14       080800      -0.10418
2015  12  14       080900      -0.10931
2015  12  14       081000      -0.11867
2015  12  14       081100      -0.1062
2015  12  14       081200      -0.083744
2015  12  14       081300      -0.073287
2015  12  14       081400      -0.066267
2015  12  14       081500      -0.054322
2015  12  14       081600      -0.068789
2015  12  14       081700      -0.074133
2015  12  14       081800      -0.073358
2015  12  14       081900      -0.077217
2015  12  14       082000      -0.083089
2015  12  14       082100      -0.062098
2015  12  14       082200      -0.068673
2015  12  14       082300      -0.050347
2015  12  14       082400      -0.065813
2015  12  14       082500      -0.04494
2015  12  14       082600      -0.049493
2015  12  14       082700      -0.04941
2015  12  14       082800      -0.066804
2015  12  14       082900      -0.056572
2015  12  14       083000      -0.077768
2015  12  14       083100      -0.073807
2015  12  14       083200      -0.091857
2015  12  14       083300      -0.058382
2015  12  14       083400      -0.086867
2015  12  14       083500      -0.08702
2015  12  14       083600      -0.093227
2015  12  14       083700      -0.087912
2015  12  14       083800      -0.10286
2015  12  14       083900      -0.10694
2015  12  14       084000      -0.10687
2015  12  14       084100      -0.11009
2015  12  14       084200      -0.12621
2015  12  14       084300      -0.13874
2015  12  14       084400      -0.13625
2015  12  14       084500      -0.1388
2015  12  14       084600      -0.15176
2015  12  14       084700      -0.14925
2015  12  14       084800      -0.15301
2015  12  14       084900      -0.14899
2015  12  14       085000      -0.14453
2015  12  14       085100      -0.16185
2015  12  14       085200      -0.16491
2015  12  14       085300      -0.1695
2015  12  14       085400      -0.18768
2015  12  14       085500      -0.1532
2015  12  14       085600      -0.17247
2015  12  14       085700      -0.1315
2015  12  14       085800      -0.15054
2015  12  14       085900      -0.12478
2015  12  14       090000      -0.14345
2015  12  14       090100      -0.14919
2015  12  14       090200      -0.16594
2015  12  14       090300      -0.14889
2015  12  14       090400      -0.14271
2015  12  14       090500      -0.15734
2015  12  14       090600      -0.1547
2015  12  14       090700      -0.14282
2015  12  14       090800      -0.15561
2015  12  14       090900      -0.13967
2015  12  14       091000      -0.15455
2015  12  14       091100      -0.16224
2015  12  14       091200      -0.17146
2015  12  14       091300      -0.18367
2015  12  14       091400      -0.18289
2015  12  14       091500      -0.18612
2015  12  14       091600      -0.17912
2015  12  14       091700      -0.1462
2015  12  14       091800      -0.14135
2015  12  14       091900      -0.10199
2015  12  14       092000      -0.088584
2015  12  14       092100      -0.074388
2015  12  14       092200      -0.07542
2015  12  14       092300      -0.077168
2015  12  14       092400      -0.068502
2015  12  14       092500      -0.038408
2015  12  14       092600      -0.01593
2015  12  14       092700      0.0086909
2015  12  14       092800      0.001901
2015  12  14       092900      0.020794
2015  12  14       093000      0.02574
2015  12  14       093100      0.03535
2015  12  14       093200      0.03252
2015  12  14       093300      0.033981
2015  12  14       093400      0.028587
2015  12  14       093500      0.044194
2015  12  14       093600      0.039308
2015  12  14       093700      0.035513
2015  12  14       093800      0.018058
2015  12  14       093900      0.026634
2015  12  14       094000      0.0022393
2015  12  14       094100      -0.012091
2015  12  14       094200      -0.017968
2015  12  14       094300      -0.0024214
2015  12  14       094400      -0.029355
2015  12  14       094500      -0.037039
2015  12  14       094600      -0.06242
2015  12  14       094700      -0.072442
2015  12  14       094800      -0.075908
2015  12  14       094900      -0.065836
2015  12  14       095000      -0.08331
2015  12  14       095100      -0.08146
2015  12  14       095200      -0.098569
2015  12  14       095300      -0.091043
2015  12  14       095400      -0.088781
2015  12  14       095500      -0.085129
2015  12  14       095600      -0.09279
2015  12  14       095700      -0.083036
2015  12  14       095800      -0.077979
2015  12  14       095900      -0.069409
2015  12  14       100000      -0.083736
2015  12  14       100100      -0.0848
2015  12  14       100200      -0.102
2015  12  14       100300      -0.092836
2015  12  14       100400      -0.078201
2015  12  14       100500      -0.083207
2015  12  14       100600      -0.076429
2015  12  14       100700      -0.070103
2015  12  14       100800      -0.070935
2015  12  14       100900      -0.07305
2015  12  14       101000      -0.065738
2015  12  14       101100      -0.047644
2015  12  14       101200      -0.053475
2015  12  14       101300      -0.056613
2015  12  14       101400      -0.046721
2015  12  14       101500      -0.041222
2015  12  14       101600      -0.052445
2015  12  14       101700      -0.040972
2015  12  14       101800      -0.05542
2015  12  14       101900      -0.039717
2015  12  14       102000      -0.05903
2015  12  14       102100      -0.034589
2015  12  14       102200      -0.031896
2015  12  14       102300      -0.017097
2015  12  14       102400      -0.0031343
2015  12  14       102500      0.003725
2015  12  14       102600      0.015311
2015  12  14       102700      0.016558
2015  12  14       102800      0.016437
2015  12  14       102900      0.016571
2015  12  14       103000      0.003219
2015  12  14       103100      -0.0031791
2015  12  14       103200      -0.0166
2015  12  14       103300      -0.0092992
2015  12  14       103400      -0.021426
2015  12  14       103500      0.0077055
2015  12  14       103600      -0.0064568
2015  12  14       103700      0.016454
2015  12  14       103800      -0.010491
2015  12  14       103900      0.0012052
2015  12  14       104000      -0.034617
2015  12  14       104100      -0.017934
2015  12  14       104200      -0.028074
2015  12  14       104300      -0.0090342
2015  12  14       104400      -0.019461
2015  12  14       104500      -0.00046357
2015  12  14       104600      -0.011841
2015  12  14       104700      -0.010671
2015  12  14       104800      -0.001185
2015  12  14       104900      -0.013693
2015  12  14       105000      0.0012874
2015  12  14       105100      -0.012608
2015  12  14       105200      0.0061965
2015  12  14       105300      -0.020775
2015  12  14       105400      0.0038447
2015  12  14       105500      -0.006735
2015  12  14       105600      -0.0046417
2015  12  14       105700      -0.017157
2015  12  14       105800      -0.03029
2015  12  14       105900      -0.035199
2015  12  14       110000      -0.039734
2015  12  14       110100      -0.024062
2015  12  14       110200      -0.04611
2015  12  14       110300      -0.0082788
2015  12  14       110400      -0.03289
2015  12  14       110500      0.020109
2015  12  14       110600      -0.012662
2015  12  14       110700      0.011867
2015  12  14       110800      -2.66E-05
2015  12  14       110900      -0.0020684
2015  12  14       111000      -0.0048759
2015  12  14       111100      -0.0032804
2015  12  14       111200      -0.0077447
2015  12  14       111300      0.014197
2015  12  14       111400      0.0051493
2015  12  14       111500      0.0088722
2015  12  14       111600      -0.028139
2015  12  14       111700      -0.024854
2015  12  14       111800      -0.04446
2015  12  14       111900      -0.019325
2015  12  14       112000      -0.0031263
2015  12  14       112100      0.0034622
2015  12  14       112200      0.020418
2015  12  14       112300      0.030353
2015  12  14       112400      0.046604
