GIC Current (amps),,
Time (MDT = GMT-6),89S_T1,89S_T2
2021-10-11 19:27,-3.874201,-3.370000
2021-10-11 19:27,-3.873412,-1.996667
2021-10-11 19:27,-3.872623,-1.998750
2021-10-11 19:27,-3.871835,-3.376250
2021-10-11 19:27,-3.871046,-4.753750
2021-10-11 19:27,-3.870256,-6.131250
2021-10-11 19:27,-3.869467,-6.023334
2021-10-11 19:27,-3.868679,-4.430000
2021-10-11 19:27,-3.867890,-2.836667
2021-10-11 19:27,-3.867101,-2.480000
2021-10-11 19:27,-3.866312,-3.360000
2021-10-11 19:27,-3.865523,-4.240000
2021-10-11 19:27,-3.864734,-4.395000
2021-10-11 19:27,-3.863945,-3.825000
2021-10-11 19:27,-3.863156,-3.255000
2021-10-11 19:27,-3.862367,-2.685000
2021-10-11 19:27,-3.861578,-2.115000
2021-10-11 19:27,-3.860789,-1.545000
2021-10-11 19:27,-3.860000,-3.810000
2021-10-11 19:27,-3.859211,-4.305000
2021-10-11 19:27,-3.858422,-3.185000
2021-10-11 19:28,-3.857633,-5.055000
2021-10-11 19:28,-3.856844,-4.425000
2021-10-11 19:28,-3.856055,-2.620000
2021-10-11 19:28,-3.855266,-2.140000
2021-10-11 19:28,-3.854477,-1.660000
2021-10-11 19:28,-3.853688,-1.180000
2021-10-11 19:28,-3.852900,-3.220000
2021-10-11 19:28,-3.852111,-4.780000
2021-10-11 19:28,-3.851322,-3.340000
2021-10-11 19:28,-3.850533,-2.702857
2021-10-11 19:28,-3.849744,-2.868572
2021-10-11 19:28,-3.848955,-3.034286
2021-10-11 19:28,-3.848166,-3.200000
2021-10-11 19:28,-3.847377,-3.365715
2021-10-11 19:28,-3.846588,-3.531429
2021-10-11 19:28,-3.845799,-3.697143
2021-10-11 19:28,-3.845010,-5.175000
2021-10-11 19:28,-3.844221,-5.973750
2021-10-11 19:28,-3.843432,-4.781250
2021-10-11 19:28,-3.842643,-3.588750
2021-10-11 19:28,-3.841854,-2.396250
2021-10-11 19:28,-3.841065,-2.635000
2021-10-11 19:28,-3.840276,-4.305000
2021-10-11 19:28,-3.839487,-5.068889
2021-10-11 19:28,-3.838698,-4.926667
2021-10-11 19:28,-3.837909,-4.784445
2021-10-11 19:28,-3.837121,-4.642222
2021-10-11 19:28,-3.836331,-4.500000
2021-10-11 19:28,-3.835542,-4.357778
2021-10-11 19:28,-3.834754,-4.215556
2021-10-11 19:29,-3.833965,-4.073334
2021-10-11 19:29,-3.833176,-3.931111
2021-10-11 19:29,-3.832387,-3.901429
2021-10-11 19:29,-3.831598,-3.984286
2021-10-11 19:29,-3.830809,-4.067143
2021-10-11 19:29,-3.830020,-4.150000
2021-10-11 19:29,-3.829231,-4.232857
2021-10-11 19:29,-3.828442,-4.315714
2021-10-11 19:29,-3.827653,-4.398571
2021-10-11 19:29,-3.826864,-5.675000
2021-10-11 19:29,-3.826075,-6.771667
2021-10-11 19:29,-3.825286,-6.495000
2021-10-11 19:29,-3.824497,-6.218334
2021-10-11 19:29,-3.823708,-3.960000
2021-10-11 19:29,-3.822919,-2.161667
2021-10-11 19:29,-3.822130,-2.805000
2021-10-11 19:29,-3.821341,-3.448334
2021-10-11 19:29,-3.820552,-4.091667
2021-10-11 19:29,-3.819763,-4.735000
2021-10-11 19:29,-3.818974,-5.378334
2021-10-11 19:29,-3.818186,-4.827500
2021-10-11 19:29,-3.817397,-3.082500
2021-10-11 19:29,-3.816608,-4.040000
2021-10-11 19:29,-3.815819,-5.467000
2021-10-11 19:29,-3.815030,-4.661000
2021-10-11 19:29,-3.814241,-3.855000
2021-10-11 19:29,-3.813452,-3.049000
2021-10-11 19:29,-3.812663,-2.243000
2021-10-11 19:29,-3.811874,-3.670000
2021-10-11 19:29,-3.811085,-4.375000
2021-10-11 19:30,-3.810296,-5.360000
2021-10-11 19:30,-3.809507,-6.535000
2021-10-11 19:30,-3.808718,-4.665000
2021-10-11 19:30,-3.807929,-4.410000
2021-10-11 19:30,-3.807140,-3.670000
2021-10-11 19:30,-3.806351,-2.750000
2021-10-11 19:30,-3.805562,-3.750000
2021-10-11 19:30,-3.804773,-4.750000
2021-10-11 19:30,-3.803984,-5.750000
2021-10-11 19:30,-3.803195,-4.010000
2021-10-11 19:30,-3.802406,-2.180000
2021-10-11 19:30,-3.801617,-3.000000
2021-10-11 19:30,-3.800828,-5.770000
2021-10-11 19:30,-3.800040,-7.456250
2021-10-11 19:30,-3.799251,-6.108750
2021-10-11 19:30,-3.798462,-4.761250
